city,state,zip,members,latitude,longitude
Vinemont,AL,35179,5,34.256106,-86.92158
Jasper,AL,35504,5,33.883566,-87.2125
Fort Payne,AL,35967,5,34.429472,-85.71078
Titus,AL,36080,5,32.691057,-86.29429
Delta,AL,36258,5,33.473789,-85.71409
Munford,AL,36268,5,33.51179,-85.94756
Ohatchee,AL,36271,5,33.79933,-86.0286
Dickson,TN,37055,5,36.065779,-87.40831
Lewisburg,TN,37091,5,35.461359,-86.7792
Dunlap,TN,37327,5,35.399109,-85.38755
Soddy Daisy,TN,37379,5,35.269694,-85.16227
Greeneville,TN,37743,5,36.102325,-82.85446
Memphis,TN,38111,5,35.10935,-89.94363
Forest,MS,39074,5,32.379693,-89.46552
Meridian,MS,39305,5,32.439945,-88.70918
Mccomb,MS,39648,5,31.225598,-90.43327
Stanford,KY,40484,5,37.520836,-84.6735
Woodbine,KY,40771,5,36.888978,-84.05237
Sanders,KY,41083,5,38.666588,-84.96756
Bonnyman,KY,41719,5,37.295365,-83.25414
Livermore,KY,42352,5,37.502836,-87.11162
Eubank,KY,42567,5,37.250746,-84.61781
Russell Springs,KY,42642,5,37.05401,-85.06142
Pickerington,OH,43147,5,39.904288,-82.756
Toledo,OH,43615,5,41.6522,-83.67037
Barnesville,OH,43713,5,39.989191,-81.17197
Belmont,OH,43718,5,40.028171,-81.00679
Salesville,OH,43778,5,39.995987,-81.36641
West Lafayette,OH,43845,5,40.268019,-81.74213
Cleveland,OH,44135,5,41.432149,-81.80467
Cleveland,OH,44144,5,41.437018,-81.73488
Barberton,OH,44203,5,41.017522,-81.61616
Cuyahoga Falls,OH,44221,5,41.141456,-81.47928
Uhrichsville,OH,44683,5,40.373604,-81.34146
Waynesburg,OH,44688,5,40.67926,-81.26003
Wooster,OH,44691,5,40.800086,-81.95726
Canton,OH,44706,5,40.776858,-81.40593
Canton,OH,44709,5,40.836508,-81.38548
Canton,OH,44714,5,40.827659,-81.36029
Shelby,OH,44875,5,40.888988,-82.65598
Sullivan,OH,44880,5,41.038842,-82.21779
Blanchester,OH,45107,5,39.293634,-83.97584
Williamsburg,OH,45176,5,39.081436,-84.02906
Cincinnati,OH,45251,5,39.258124,-84.58733
Miamisburg,OH,45342,5,39.631525,-84.27074
Dayton,OH,45429,5,39.687459,-84.15595
Dayton,OH,45440,5,39.674192,-84.11029
Little Hocking,OH,45742,5,39.273206,-81.70889
Pomeroy,OH,45769,5,39.092281,-82.028
Martinsville,IN,46151,5,39.442774,-86.41337
South Bend,IN,46637,5,41.73104,-86.24391
Leo,IN,46765,5,41.219699,-85.02486
Fort Wayne,IN,46806,5,41.048148,-85.11114
Brookville,IN,47012,5,39.43115,-84.99568
Lafayette,IN,47905,5,40.41836,-86.81847
West Lafayette,IN,47906,5,40.461012,-86.93664
Harrison Township,MI,48045,5,42.582961,-82.83063
Taylor,MI,48180,5,42.231788,-83.26481
Waterford,MI,48329,5,42.68828,-83.38967
Lake Orion,MI,48362,5,42.783379,-83.2471
Birch Run,MI,48415,5,43.268788,-83.79486
Linden,MI,48451,5,42.800911,-83.81366
Beaverton,MI,48612,5,43.87787,-84.42078
Coleman,MI,48618,5,43.747084,-84.55669
Midland,MI,48640,5,43.605457,-84.27234
Standish,MI,48658,5,43.985129,-83.93628
West Branch,MI,48661,5,44.288158,-84.21162
Tawas City,MI,48763,5,44.250144,-83.55805
Howell,MI,48855,5,42.678059,-83.915592
Saint Johns,MI,48879,5,42.998998,-84.57704
Shepherd,MI,48883,5,43.534764,-84.68228
Sidney,MI,48885,5,43.247555,-85.16587
Bellevue,MI,49021,5,42.447038,-85.04264
Battle Creek,MI,49037,5,42.3230152,-85.2444105
Coloma,MI,49038,5,42.209307,-86.3337
Covert,MI,49043,5,42.296105,-86.26647
Lawton,MI,49065,5,42.144087,-85.84205
Marshall,MI,49068,5,42.277837,-84.94869
Tekonsha,MI,49092,5,42.09724,-84.97543
Hudson,MI,49247,5,41.857385,-84.34907
Springport,MI,49284,5,42.38806,-84.70868
Mecosta,MI,49332,5,43.623053,-85.25883
Newaygo,MI,49337,5,43.430588,-85.73515
White Cloud,MI,49349,5,43.57219,-85.76662
Kaleva,MI,49645,5,44.371587,-86.0122
Sioux City,IA,51104,5,42.524145,-96.40292
Dubuque,IA,52001,5,42.515252,-90.6794
Coralville,IA,52241,5,41.688215,-91.58676
Tama,IA,52339,5,41.95277,-92.58225
Campbellsport,WI,53010,5,43.602787,-88.2653
Necedah,WI,54646,5,44.057528,-90.07117
Iola,WI,54945,5,44.558941,-89.13383
New Underwood,SD,57761,5,44.133058,-102.78887
Saint Clair,MO,63077,5,38.336093,-90.98902
Potosi,MO,63664,5,37.91496,-90.86797
Harrisonville,MO,64701,5,38.641509,-94.34126
Clinton,MO,64735,5,38.364214,-93.76042
Sedalia,MO,65301,5,38.702964,-93.23231
Williamsburg,KS,66095,5,38.455968,-95.44342
Franklinton,LA,70438,5,30.844465,-90.12066
Church Point,LA,70525,5,30.414588,-92.21772
Baskin,LA,71219,5,32.308243,-91.71527
Jena,LA,71342,5,31.654792,-92.12872
Hope,AR,71801,5,33.657969,-93.59486
Hot Springs National Park,AR,71913,5,34.47056,-93.08805
Conway,AR,72032,5,35.075467,-92.43401
McCrory,AR,72101,5,35.224432,-91.15291
Drasco,AR,72530,5,35.615841,-91.9451
Melbourne,AR,72556,5,36.035962,-91.92696
El Reno,OK,73036,5,35.519046,-97.95534
Oklahoma City,OK,73108,5,35.447126,-97.55824
Oklahoma City,OK,73162,5,35.579254,-97.63765
Bartlesville,OK,74006,5,36.733398,-95.92404
Tulsa,OK,74146,5,36.102112,-95.85244
Vinita,OK,74301,5,36.631673,-95.17303
Grand Prairie,TX,75050,5,32.759922,-97.01216
Grand Prairie,TX,75052,5,32.675604,-97.02346
Irving,TX,75062,5,32.846645,-96.96733
Dallas,TX,75211,5,32.736931,-96.88253
Texarkana,TX,75501,5,33.414708,-94.08984
Woodville,TX,75979,5,30.768601,-94.40671
Arlington,TX,76014,5,32.694666,-97.08748
Fort Worth,TX,76112,5,32.744032,-97.21957
Waco,TX,76708,5,31.584132,-97.18558
Houston,TX,77029,5,29.760794,-95.26043
Houston,TX,77036,5,29.70053,-95.53514
Houston,TX,77047,5,29.616182,-95.37767
Houston,TX,77075,5,29.620881,-95.26018
Houston,TX,77081,5,29.70828,-95.48361
Willis,TX,77318,5,30.434486,-95.55009
Katy,TX,77493,5,29.810279,-95.82011
Beaumont,TX,77707,5,30.065029,-94.18031
Alamo,TX,78516,5,26.175021,-98.11969
Weslaco,TX,78596,5,26.162609,-97.98512
Lubbock,TX,79410,5,33.570135,-101.88901
Colorado Springs,CO,80909,5,38.851493,-104.77856
Pueblo,CO,81001,5,38.282872,-104.57029
Caldwell,ID,83607,5,43.675651,-116.73825
New Plymouth,ID,83655,5,43.96929,-116.81389
Phoenix,AZ,85037,5,33.493006,-112.25539
Phoenix,AZ,85043,5,33.435405,-112.20009
Hobbs,NM,88240,5,32.70778,-103.16616
Fernley,NV,89408,5,39.617711,-119.17374
South Gate,CA,90280,5,33.944264,-118.1949
Baldwin Park,CA,91706,5,34.087108,-117.96966
Montclair,CA,91763,5,34.07041,-117.69938
Lemon Grove,CA,91945,5,32.733451,-117.0337
Ramona,CA,92065,5,33.035844,-116.8513
Santa Paula,CA,93060,5,34.367474,-119.07317
Estacada,OR,97023,5,45.267354,-122.28464
Gresham,OR,97080,5,45.481342,-122.40856
Bonney Lake,WA,98391,5,47.18,-122.16
Norwich,CT,6360,4,41.533848,-72.06232
Bellingham,MA,2019,4,42.075122,-71.47953
Shreveport,LA,71118,4,32.397255,-93.8043
Moosup,CT,6354,4,41.71836,-71.87098
Perkinston,MS,39573,4,30.710795,-89.09325
Gulfport,MS,39501,4,30.380597,-89.09626
Chicago,IL,60641,4,41.946431,-87.74576
Idaho Springs,CO,80452,4,39.737369,-105.56054
North Bergen,NJ,7047,4,40.7946,-74.01963
Chicago,IL,60629,4,41.777482,-87.71155
Las Vegas,NV,89121,4,36.121972,-115.0903
Canterbury,CT,6331,4,41.697123,-72.0029
Hartly,DE,19953,4,39.150822,-75.70428
Hobart,IN,46342,4,41.533786,-87.26403
Bear,DE,19701,4,39.598203,-75.69945
Edwards,MS,39066,4,32.295098,-90.60286
Portage,IN,46368,4,41.58327,-87.18154
Shoals,IN,47581,4,38.663011,-86.77554
Vero Beach,FL,32967,4,27.724801,-80.49708
Fountain Valley,CA,92708,4,33.708618,-117.95629
Holyoke,MA,1040,4,42.201891,-72.6242
Springfield,MA,1108,4,42.084094,-72.55523
Becket,MA,1223,4,42.314449,-73.09335
Greenfield,MA,1301,4,42.605524,-72.60098
Orange,MA,1364,4,42.599614,-72.29263
Shelburne Falls,MA,1370,4,42.603447,-72.72754
Mansfield,MA,2048,4,42.019982,-71.2191
Middleboro,MA,2346,4,41.889582,-70.89406
Goffstown,NH,3045,4,43.037495,-71.57023
Nashua,NH,3060,4,42.748888,-71.46492
Hooksett,NH,3106,4,43.058785,-71.44412
Littleton,NH,3561,4,44.313606,-71.79751
Strafford,NH,3884,4,43.257919,-71.17701
Topsham,ME,4086,4,43.94674,-69.96163
Oxford,ME,4270,4,44.114612,-70.50506
Bath,ME,4530,4,43.900651,-69.83405
Addison,ME,4606,4,44.556073,-67.70122
Dexter,ME,4930,4,45.023476,-69.29725
Fairlee,VT,5045,4,43.919887,-72.20655
Springfield,VT,5156,4,43.300126,-72.47767
Ellington,CT,6029,4,41.909147,-72.45026
Simsbury,CT,6070,4,41.874064,-72.81644
Winsted,CT,6098,4,41.925967,-73.06944
North Windham,CT,6256,4,41.758713,-72.13964
Storrs Mansfield,CT,6268,4,41.806041,-72.26127
Terryville,CT,6786,4,41.676415,-73.00836
Danbury,CT,6810,4,41.390194,-73.45441
Riverside,NJ,8075,4,40.029361,-74.9541
Trenton,NJ,8629,4,40.219358,-74.73334
Cortlandt Manor,NY,10567,4,41.300813,-73.8908
Yonkers,NY,10703,4,40.956546,-73.8799
Brentwood,NY,11717,4,40.783954,-73.24517
Centereach,NY,11720,4,40.868946,-73.08009
Medford,NY,11763,4,40.820786,-72.98375
Miller Place,NY,11764,4,40.946506,-72.98837
Middle Island,NY,11953,4,40.886267,-72.9552
Ridge,NY,11961,4,40.89609,-72.87824
Yaphank,NY,11980,4,40.832858,-72.91611
Stormville,NY,12582,4,41.549525,-73.72745
Binghamton,NY,13903,4,42.077258,-75.90226
Lockport,NY,14094,4,43.160857,-78.68756
Belle Vernon,PA,15012,4,40.140248,-79.84251
Donora,PA,15033,4,40.176375,-79.86138
West Newton,PA,15089,4,40.211895,-79.75483
Somerset,PA,15501,4,40.02847,-79.1105
Scottdale,PA,15683,4,40.103791,-79.59396
Saint Marys,PA,15857,4,41.4376,-78.54272
Dayton,PA,16222,4,40.8739,-79.24188
New Bethlehem,PA,16242,4,41.007757,-79.3461
Cochranton,PA,16314,4,41.517339,-80.05761
Palmyra,PA,17078,4,40.304156,-76.5912
New Oxford,PA,17350,4,39.874531,-77.06305
Lancaster,PA,17603,4,40.03263,-76.33328
Pottsville,PA,17901,4,40.68514,-76.2139
Palmerton,PA,18071,4,40.820558,-75.58537
Coaldale,PA,18218,4,40.822234,-75.91011
Dalton,PA,18414,4,41.537933,-75.73826
Hunlock Creek,PA,18621,4,41.257193,-76.08882
Kingston,PA,18704,4,41.274748,-75.89076
Fairless Hills,PA,19030,4,40.175504,-74.84611
Langhorne,PA,19047,4,40.173563,-74.91203
Levittown,PA,19054,4,40.166859,-74.82066
Marcus Hook,PA,19061,4,39.832762,-75.44063
Morrisville,PA,19067,4,40.214661,-74.81812
Philadelphia,PA,19124,4,40.017362,-75.08769
Philadelphia,PA,19127,4,40.026626,-75.22311
Philadelphia,PA,19128,4,40.038944,-75.22104
Philadelphia,PA,19130,4,39.968262,-75.17222
Philadelphia,PA,19140,4,40.012212,-75.14503
Norristown,PA,19403,4,40.146069,-75.38378
North Wales,PA,19454,4,40.223524,-75.24731
Pottstown,PA,19465,4,40.206057,-75.66107
Reading,PA,19605,4,40.390943,-75.9375
Reading,PA,19611,4,40.327792,-75.94215
Frankford,DE,19945,4,38.511469,-75.18364
Woodside,DE,19980,4,39.07027,-75.57057
Manassas,VA,20111,4,38.769697,-77.44915
Brentwood,MD,20722,4,38.939716,-76.95203
College Park,MD,20740,4,38.99756,-76.92577
Upper Marlboro,MD,20774,4,38.892456,-76.80685
Columbia,MD,21046,4,39.175004,-76.85319
Pylesville,MD,21132,4,39.696621,-76.42781
Severna Park,MD,21146,4,39.079059,-76.55784
Parkville,MD,21234,4,39.385006,-76.54177
Rosedale,MD,21237,4,39.33224,-76.50365
Windsor Mill,MD,21244,4,39.338156,-76.76438
Barton,MD,21521,4,39.535862,-79.0194
Chestertown,MD,21620,4,39.215278,-76.09726
Frederick,MD,21703,4,39.385165,-77.4539
Hagerstown,MD,21740,4,39.633946,-77.73025
Hagerstown,MD,21742,4,39.658897,-77.68297
Mount Airy,MD,21771,4,39.381295,-77.15867
Princess Anne,MD,21853,4,38.205272,-75.70169
Annandale,VA,22003,4,38.830345,-77.21387
Falls Church,VA,22042,4,38.864669,-77.18781
Lorton,VA,22079,4,38.695915,-77.20122
Locust Grove,VA,22508,4,38.326624,-77.76987
Strasburg,VA,22657,4,39.00127,-78.36485
Stanley,VA,22851,4,38.567459,-78.50696
Toano,VA,23168,4,37.403872,-76.81744
Richmond,VA,23227,4,37.606778,-77.44775
Virginia Beach,VA,23452,4,36.839209,-76.09333
Norfolk,VA,23513,4,36.888147,-76.23909
Hampton,VA,23669,4,37.037946,-76.34415
Dewitt,VA,23840,4,37.066833,-77.6675
Hopewell,VA,23860,4,37.287869,-77.29359
Jarratt,VA,23867,4,36.811276,-77.47496
Chase City,VA,23924,4,36.806422,-78.46048
Keysville,VA,23947,4,37.029877,-78.4643
Rice,VA,23966,4,37.284087,-78.27559
Roanoke,VA,24019,4,37.341428,-79.95049
Fieldale,VA,24089,4,36.70487,-79.95681
Vinton,VA,24179,4,37.276218,-79.8524
Woolwine,VA,24185,4,36.806528,-80.26895
Nickelsville,VA,24271,4,36.741128,-82.41823
Cripple Creek,VA,24322,4,36.820139,-81.11128
Elk Creek,VA,24326,4,36.729236,-81.2001
Fancy Gap,VA,24328,4,36.659171,-80.70387
Amherst,VA,24521,4,37.616606,-79.08763
Nathalie,VA,24577,4,36.940538,-78.98017
Athens,WV,24712,4,37.448532,-81.0032
Lashmeet,WV,24733,4,37.431153,-81.22628
Davy,WV,24828,4,37.478583,-81.66169
Northfork,WV,24868,4,37.418471,-81.41706
Panther,WV,24872,4,37.45926,-81.89024
Danville,WV,25053,4,38.05738,-81.86082
Ivydale,WV,25113,4,38.557141,-81.03747
Maysel,WV,25133,4,38.485889,-81.13105
Evans,WV,25241,4,38.792125,-81.80117
Orma,WV,25268,4,38.73796,-81.09478
Charleston,WV,25313,4,38.425721,-81.76168
Ashton,WV,25503,4,38.613255,-82.12468
East Lynn,WV,25512,4,38.20651,-82.34523
Griffithsville,WV,25521,4,38.238045,-81.98991
Prichard,WV,25555,4,38.238942,-82.58178
Salt Rock,WV,25559,4,38.324409,-82.22242
Wharncliffe,WV,25651,4,37.555503,-81.96819
Ansted,WV,25812,4,38.138419,-81.10403
Glen Daniel,WV,25844,4,37.802995,-81.36495
Quinwood,WV,25981,4,38.07743,-80.72476
Dallas,WV,26036,4,39.974547,-80.53003
Grantsville,WV,26147,4,38.911018,-81.07278
Buckhannon,WV,26201,4,38.997267,-80.20915
Clarksburg,WV,26301,4,39.281289,-80.34348
Newburg,WV,26410,4,39.39905,-79.82996
Orlando,WV,26412,4,38.891517,-80.5648
Salem,WV,26426,4,39.284467,-80.57219
Troy,WV,26443,4,39.080329,-80.76956
West Union,WV,26456,4,39.293095,-80.77811
Albright,WV,26519,4,39.539088,-79.63241
Mount Nebo,WV,26679,4,38.1755,-80.80897
Fort Ashby,WV,26719,4,39.497698,-78.76381
Westfield,NC,27053,4,36.473951,-80.34752
Winston Salem,NC,27104,4,36.094104,-80.31503
Bennett,NC,27208,4,35.559258,-79.54591
Climax,NC,27233,4,35.911979,-79.69566
High Point,NC,27265,4,36.017647,-80.00628
Seagrove,NC,27341,4,35.53332,-79.71018
Franklinton,NC,27525,4,36.104866,-78.45893
Fuquay Varina,NC,27526,4,35.575302,-78.80234
Wendell,NC,27591,4,35.781595,-78.37287
Youngsville,NC,27596,4,36.000487,-78.44921
Zebulon,NC,27597,4,35.848039,-78.30135
Raleigh,NC,27613,4,35.899208,-78.71161
Raleigh,NC,27616,4,35.865441,-78.54929
Durham,NC,27703,4,35.966431,-78.83969
Durham,NC,27705,4,36.015992,-78.95911
Greenville,NC,27858,4,35.579216,-77.33836
Edenton,NC,27932,4,36.093252,-76.62077
Casar,NC,28020,4,35.518637,-81.62728
Fayetteville,NC,28303,4,35.084163,-78.953
Fayetteville,NC,28306,4,35.003712,-78.92179
Elizabethtown,NC,28337,4,34.647611,-78.58643
Erwin,NC,28339,4,35.322849,-78.68964
Kenansville,NC,28349,4,34.977225,-77.94761
Laurel Hill,NC,28351,4,34.827291,-79.56026
Spring Lake,NC,28390,4,35.211913,-78.97499
Wilmington,NC,28403,4,34.221512,-77.88452
Wilmington,NC,28411,4,34.285519,-77.80572
Supply,NC,28462,4,33.974251,-78.30961
Kinston,NC,28501,4,35.260895,-77.56469
New Bern,NC,28560,4,35.119674,-77.01509
Hildebran,NC,28637,4,35.718432,-81.41878
West Jefferson,NC,28694,4,36.375468,-81.47784
Barnardsville,NC,28709,4,35.756437,-82.41471
Clyde,NC,28721,4,35.60089,-82.93536
Hendersonville,NC,28791,4,35.345487,-82.49673
Columbia,SC,29229,4,34.139511,-80.88783
Enoree,SC,29335,4,34.660137,-81.90924
Landrum,SC,29356,4,35.15617,-82.22045
Cheraw,SC,29520,4,34.68862,-79.92315
Lake View,SC,29563,4,34.345437,-79.18651
Loris,SC,29569,4,34.046247,-78.9008
Greenville,SC,29601,4,34.848301,-82.40578
Greenville,SC,29609,4,34.889217,-82.39364
Anderson,SC,29624,4,34.478139,-82.6455
Central,SC,29630,4,34.733515,-82.78407
Easley,SC,29642,4,34.789884,-82.56459
Gray Court,SC,29645,4,34.601311,-82.13111
Pelzer,SC,29669,4,34.646501,-82.44077
Seneca,SC,29678,4,34.660345,-82.94557
Simpsonville,SC,29680,4,34.709869,-82.28385
Ware Shoals,SC,29692,4,34.404535,-82.23851
Griffin,GA,30224,4,33.215454,-84.25427
Molena,GA,30258,4,32.999261,-84.47168
Gainesville,GA,30507,4,34.253714,-83.77348
Clarkesville,GA,30523,4,34.700311,-83.51879
Eastman,GA,31023,4,32.193953,-83.1848
Thomasville,GA,31792,4,30.817654,-83.98919
Lake City,FL,32025,4,30.155229,-82.62165
O Brien,FL,32071,4,30.039096,-82.94481
Wellborn,FL,32094,4,30.203153,-82.81421
Saint Augustine,FL,32095,4,29.923718,-81.33962
Bunnell,FL,32110,4,29.445826,-81.30203
Palm Coast,FL,32137,4,29.581683,-81.21645
Florahome,FL,32140,4,29.765329,-81.85602
Jacksonville,FL,32205,4,30.307439,-81.72044
Jacksonville,FL,32209,4,30.354588,-81.69113
Jacksonville,FL,32222,4,30.230272,-81.81255
Jacksonville,FL,32226,4,30.453405,-81.52551
Jacksonville,FL,32254,4,30.336038,-81.72509
Tallahassee,FL,32303,4,30.486061,-84.31528
Tallahassee,FL,32304,4,30.446766,-84.32394
Tallahassee,FL,32310,4,30.400318,-84.34803
Quincy,FL,32351,4,30.573563,-84.6147
Steinhatchee,FL,32359,4,29.673459,-83.38416
Bonifay,FL,32425,4,30.838337,-85.67495
Chipley,FL,32428,4,30.636228,-85.5775
Milton,FL,32571,4,30.627637,-87.16724
Gainesville,FL,32607,4,29.646189,-82.39658
Altamonte Springs,FL,32714,4,28.663913,-81.41112
Sanford,FL,32773,4,28.769173,-81.27631
Longwood,FL,32779,4,28.704874,-81.41711
Titusville,FL,32780,4,28.564077,-80.81695
Orlando,FL,32824,4,28.410872,-81.35898
Palm Bay,FL,32907,4,28.012241,-80.67729
Melbourne,FL,32934,4,28.137443,-80.69211
Homestead,FL,33032,4,25.524528,-80.40521
Pompano Beach,FL,33073,4,26.305433,-80.18287
Miami,FL,33127,4,25.813808,-80.2058
Miami,FL,33142,4,25.812625,-80.2369
Miami,FL,33150,4,25.851974,-80.20566
Miami,FL,33169,4,25.94267,-80.21276
Fort Lauderdale,FL,33321,4,26.211122,-80.2631
West Palm Beach,FL,33409,4,26.709575,-80.09443
West Palm Beach,FL,33415,4,26.659344,-80.12704
Plant City,FL,33566,4,28.013755,-82.11685
Tampa,FL,33610,4,27.993498,-82.40914
Lakeland,FL,33801,4,28.041198,-81.92392
Lakeland,FL,33810,4,28.106787,-82.01033
Haines City,FL,33844,4,28.101527,-81.6235
Cape Coral,FL,33909,4,26.687462,-81.94968
Alva,FL,33920,4,26.711362,-81.61684
Fort Myers,FL,33967,4,26.47,-81.8
Cape Coral,FL,33990,4,26.63075,-81.95251
Cape Coral,FL,33991,4,26.634338,-82.00674
Bradenton,FL,34209,4,27.488866,-82.62737
Parrish,FL,34219,4,27.574128,-82.40701
Belleview,FL,34420,4,29.054976,-82.04255
New Port Richey,FL,34652,4,28.237582,-82.72818
Astatula,FL,34705,4,28.708139,-81.73307
Kissimmee,FL,34746,4,28.287883,-81.46862
Saint Cloud,FL,34773,4,28.160376,-81.00041
Winter Garden,FL,34787,4,28.536794,-81.59344
Bessemer,AL,35023,4,33.443039,-87.0193
Centreville,AL,35042,4,32.963486,-87.13867
Cleveland,AL,35049,4,33.963435,-86.5954
Cullman,AL,35058,4,34.223732,-86.7562
Harpersville,AL,35078,4,33.337092,-86.44085
Maylene,AL,35114,4,33.225377,-86.86443
Thorsby,AL,35171,4,32.907616,-86.71868
Trussville,AL,35173,4,33.623485,-86.58546
Tuscaloosa,AL,35401,4,33.193818,-87.56843
Gordo,AL,35466,4,33.299935,-87.88368
Arley,AL,35541,4,34.059527,-87.18344
Hartselle,AL,35640,4,34.442184,-86.94027
Muscle Shoals,AL,35661,4,34.759947,-87.62705
Somerville,AL,35670,4,34.481885,-86.7525
Huntsville,AL,35824,4,34.654126,-86.73987
Gadsden,AL,35901,4,34.016747,-85.99282
Gadsden,AL,35907,4,33.906415,-86.02665
Deatsville,AL,36022,4,32.612619,-86.39497
Marbury,AL,36051,4,32.682598,-86.47451
Headland,AL,36345,4,31.381263,-85.3149
Smiths,AL,36877,4,32.545138,-85.09212
Antioch,TN,37013,4,36.055115,-86.64782
Madison,TN,37115,4,36.264069,-86.70566
Whitwell,TN,37397,4,35.20297,-85.49733
Chattanooga,TN,37412,4,34.996674,-85.23748
Johnson City,TN,37604,4,36.312633,-82.3802
Bean Station,TN,37708,4,36.320262,-83.32206
Loudon,TN,37774,4,35.725969,-84.33069
Livingston,TN,38570,4,36.376289,-85.32585
Hattiesburg,MS,39401,4,31.285508,-89.2799
Poplarville,MS,39470,4,30.810936,-89.56435
Starkville,MS,39759,4,33.450215,-88.82383
Bainbridge,GA,39817,4,30.94,-84.6
Louisville,KY,40206,4,38.254671,-85.70254
Winchester,KY,40391,4,37.98223,-84.17023
Evarts,KY,40828,4,36.86772,-83.17747
Burlington,KY,41005,4,39.020466,-84.74158
Stopover,KY,41568,4,37.49947,-82.05643
Banner,KY,41603,4,37.601078,-82.69496
Prestonsburg,KY,41653,4,37.667872,-82.75876
Chavies,KY,41727,4,37.350689,-83.34049
Hyden,KY,41749,4,37.17621,-83.38301
Hanson,KY,42413,4,37.425687,-87.495
Jamestown,KY,42629,4,36.946642,-85.09981
Delaware,OH,43015,4,40.295925,-83.06968
Heath,OH,43056,4,40.017096,-82.34322
Utica,OH,43080,4,40.242377,-82.42775
Galloway,OH,43119,4,39.939871,-83.1667
Columbus,OH,43228,4,39.954363,-83.123
Columbus,OH,43229,4,40.085313,-82.97326
Mount Gilead,OH,43338,4,40.555366,-82.77273
Bethesda,OH,43719,4,40.009383,-81.0763
Crooksville,OH,43731,4,39.742354,-82.09349
Duncan Falls,OH,43734,4,39.876997,-81.90909
Kimbolton,OH,43749,4,40.157301,-81.55736
Mount Perry,OH,43760,4,39.888751,-82.19224
Philo,OH,43771,4,39.842048,-81.93264
Adamsville,OH,43802,4,40.090643,-81.86556
Martins Ferry,OH,43935,4,40.103877,-80.73327
Mingo Junction,OH,43938,4,40.318569,-80.64172
Brunswick,OH,44212,4,41.244051,-81.82836
Akron,OH,44301,4,41.043955,-81.51919
Akron,OH,44305,4,41.073606,-81.46278
Akron,OH,44310,4,41.107655,-81.50091
Lisbon,OH,44432,4,40.757793,-80.7642
Vienna,OH,44473,4,41.236248,-80.66265
Warren,OH,44483,4,41.252748,-80.80773
Beloit,OH,44609,4,40.898618,-80.99304
Dover,OH,44622,4,40.537509,-81.48791
Gnadenhutten,OH,44629,4,40.359172,-81.4351
Hartville,OH,44632,4,40.96289,-81.32814
Louisville,OH,44641,4,40.843685,-81.26298
New Philadelphia,OH,44663,4,40.477187,-81.44439
Canton,OH,44720,4,40.888408,-81.41066
Canton,OH,44721,4,40.886297,-81.33145
Springboro,OH,45066,4,39.557096,-84.22688
Aberdeen,OH,45101,4,38.671655,-83.75693
Cincinnati,OH,45227,4,39.15201,-84.38348
Cincinnati,OH,45245,4,39.075329,-84.27311
Germantown,OH,45327,4,39.628806,-84.37873
Troy,OH,45373,4,40.036525,-84.20629
Xenia,OH,45385,4,39.682836,-83.92144
Dayton,OH,45410,4,39.748309,-84.15893
West Portsmouth,OH,45663,4,38.743244,-83.05954
Beverly,OH,45715,4,39.58849,-81.62932
Coolville,OH,45723,4,39.22241,-81.81945
Cutler,OH,45724,4,39.363901,-81.78854
Greenfield,IN,46140,4,39.799143,-85.78446
Indianapolis,IN,46237,4,39.67859,-86.08634
Chesterton,IN,46304,4,41.616263,-87.05883
Lowell,IN,46356,4,41.269789,-87.41353
Knox,IN,46534,4,41.282822,-86.61613
New Carlisle,IN,46552,4,41.708183,-86.50412
Huntington,IN,46750,4,40.872261,-85.49061
Logansport,IN,46947,4,40.754787,-86.36684
Osgood,IN,47037,4,39.1548,-85.30949
Saint Paul,IN,47272,4,39.419641,-85.62782
Seymour,IN,47274,4,38.958688,-85.89917
New Baltimore,MI,48047,4,42.670932,-82.77754
Trenton,MI,48183,4,42.137071,-83.21446
Detroit,MI,48210,4,42.338137,-83.12785
Utica,MI,48316,4,42.689632,-83.06154
Flint,MI,48507,4,42.973263,-83.70142
Auburn,MI,48611,4,43.617796,-84.07918
Breckenridge,MI,48615,4,43.422568,-84.47433
Linwood,MI,48634,4,43.748816,-84.01217
Eaton Rapids,MI,48827,4,42.507093,-84.6579
Greenville,MI,48838,4,43.1791,-85.26533
Perrinton,MI,48871,4,43.160914,-84.68397
Benton Harbor,MI,49022,4,42.10809,-86.41801
South Haven,MI,49090,4,42.403593,-86.24912
Albion,MI,49224,4,42.261257,-84.75151
Concord,MI,49237,4,42.177223,-84.651
Coral,MI,49322,4,43.368957,-85.37282
Grant,MI,49327,4,43.34022,-85.82566
Whitehall,MI,49461,4,43.389775,-86.34028
Grand Rapids,MI,49509,4,42.905877,-85.70392
Kingsley,IA,51028,4,42.596358,-95.98619
Marion,IA,52302,4,42.042648,-91.58262
Inver Grove Heights,MN,55077,4,44.825391,-93.06893
Kalispell,MT,59901,4,48.201414,-114.32202
Roscoe,IL,61073,4,42.419097,-89.00407
Cadet,MO,63630,4,38.020743,-90.74557
Ellsinore,MO,63937,4,36.936583,-90.75026
Pattonsburg,MO,64670,4,40.051163,-94.12713
Lamar,MO,64759,4,37.507321,-94.2761
Columbia,MO,65203,4,38.925204,-92.36887
Steelville,MO,65565,4,37.919808,-91.25495
Hartville,MO,65667,4,37.302013,-92.50741
